descripcion,presentacion,CODIGO,Precio Final,Precio Comp,LÃ­nea,PresentaciÃ³n,Envase,Principio Activo,PresentaciÃ³nedwerwer,CÃ³digo,EAN 13,Producto,Unnamed: 5,DROGUERIA,DROGUERIA.1,SUGERIDO,Cert.,PresentaciÃ³ncaca,codigo,descripcionhgdf,Unnamed: 2,descripcion_presentacion
clinicaEXENTO IVA*2096291,,,,,,,,,,,,,,,,,,,,,,clinicaEXENTO IVA*2096291 
NeurocienciasEXENTO IVA*,,,,,,,,,,,,,,,,,,,,,,NeurocienciasEXENTO IVA* 
Neurociencias,,,,,,,,,,,,,,,,,,,,,,Neurociencias 
Neurociencias,,,,,,,,,,,,,,,,,,,,,,Neurociencias 
Neurociencias,,,,,,,,,,,,,,,,,,,,,,Neurociencias 
Neurociencias,,,,,,,,,,,,,,,,,,,,,,Neurociencias 
Neurociencias,,,,,,,,,,,,,,,,,,,,,,Neurociencias 
Trat. Especiales,,,,,,,,,,,,,,,,,,,,,,Trat. Especiales 
Neurociencias,,,,,,,,,,,,,,,,,,,,,,Neurociencias 
Trat. Especiales,,,,,,,,,,,,,,,,,,,,,,Trat. Especiales 
Trat. Especiales,,,,,,,,,,,,,,,,,,,,,,Trat. Especiales 
clinicaEXENTO IVA*,,,,,,,,,,,,,,,,,,,,,,clinicaEXENTO IVA* 
clinicaEXENTO IVA*,,,,,,,,,,,,,,,,,,,,,,clinicaEXENTO IVA* 
clinicaEXENTO IVA*,,,,,,,,,,,,,,,,,,,,,,clinicaEXENTO IVA* 
clinicaEXENTO IVA*,,,,,,,,,,,,,,,,,,,,,,clinicaEXENTO IVA* 
clinicaEXENTO IVA*,,,,,,,,,,,,,,,,,,,,,,clinicaEXENTO IVA* 
NeurocienciasEXENTO IVA*,,,,,,,,,,,,,,,,,,,,,,NeurocienciasEXENTO IVA* 
EXENTO IVA*,,,,,,,,,,,,,,,,,,,,,,EXENTO IVA* 
EXENTO IVA*,,,,,,,,,,,,,,,,,,,,,,EXENTO IVA* 
ADEROGYL,Ampollas con 1,,,,,,,,,,,,,,,,,,,,,ADEROGYL Ampollas con 1
,,,,,,,,,,,,,,,,,,,,,, 
APASMO,Gotas con 20 ml,,,,,,,,,,,,,,,,,,,,,APASMO Gotas con 20 ml
APASMO COMPUESTO,Comprimidos con 20 comprimidos,,,,,,,,,,,,,,,,,,,,,APASMO COMPUESTO Comprimidos con 20 comprimidos
,,,,,,,,,,,,,,,,,,,,,, 
IBU MEJORAL 600,Comprimidos con 10 comprimidos,,,,,,,,,,,,,,,,,,,,,IBU MEJORAL 600 Comprimidos con 10 comprimidos
,,,,,,,,,,,,,,,,,,,,,, 
IBU MEJORAL RA 600,CÃ¡psulas con 10 cÃ¡psulas,,,,,,,,,,,,,,,,,,,,,IBU MEJORAL RA 600 CÃ¡psulas con 10 cÃ¡psulas
IBU MEJORAL RA 600,CÃ¡psulas con 20 cÃ¡psulas,,,,,,,,,,,,,,,,,,,,,IBU MEJORAL RA 600 CÃ¡psulas con 20 cÃ¡psulas
,,,,,,,,,,,,,,,,,,,,,, 
IBU MEJORAL FLEX,Comprimidos con 10 comprimidos,,,,,,,,,,,,,,,,,,,,,IBU MEJORAL FLEX Comprimidos con 10 comprimidos
IBU MEJORAL FLEX  600,Comprimidos con 10 comprimidos,,,,,,,,,,,,,,,,,,,,,IBU MEJORAL FLEX  600 Comprimidos con 10 comprimidos
,,,,,,,,,,,,,,,,,,,,,, 
MARATHON caps blandas TEVA (**),CÃ¡psulas con 30 cÃ¡psulas,,,,,,,,,,,,,,,,,,,,,MARATHON caps blandas TEVA (**) CÃ¡psulas con 30 cÃ¡psulas
MARATHON caps blandas TEVA (**),CÃ¡psulas con 60 cÃ¡psulas,,,,,,,,,,,,,,,,,,,,,MARATHON caps blandas TEVA (**) CÃ¡psulas con 60 cÃ¡psulas
MARATHON ANTIOXIDANTE caps. blandas TEVA (**),CÃ¡psulas con 30 cÃ¡psulas,,,,,,,,,,,,,,,,,,,,,MARATHON ANTIOXIDANTE caps. blandas TEVA (**) CÃ¡psulas con 30 cÃ¡psulas
,,,,,,,,,,,,,,,,,,,,,, 
MEJORAL IBUPROFENO 600,Comprimidos con 10 comprimidos,,,,,,,,,,,,,,,,,,,,,MEJORAL IBUPROFENO 600 Comprimidos con 10 comprimidos
MEJORAL IBUPROFENO 600,CÃ¡psulas con 20 cÃ¡psulas,,,,,,,,,,,,,,,,,,,,,MEJORAL IBUPROFENO 600 CÃ¡psulas con 20 cÃ¡psulas
MEJORAL IBUPROFENO 600 RA,CÃ¡psulas con 10 cÃ¡psulas,,,,,,,,,,,,,,,,,,,,,MEJORAL IBUPROFENO 600 RA CÃ¡psulas con 10 cÃ¡psulas
MEJORAL PAR. 1000 mg,Comprimidos masticables con 30 comprimidos masticables,,,,,,,,,,,,,,,,,,,,,MEJORAL PAR. 1000 mg Comprimidos masticables con 30 comprimidos masticables
,,,,,,,,,,,,,,,,,,,,,, 
MICTASOL AZUL,Grageas con 50,,,,,,,,,,,,,,,,,,,,,MICTASOL AZUL Grageas con 50
,,,,,,,,,,,,,,,,,,,,,, 
ORALSONE,Comprimidos con 12,,,,,,,,,,,,,,,,,,,,,ORALSONE Comprimidos con 12
102 PLUS,Comprimidos con 30,,,,,,,,,,,,,,,,,,,,,102 PLUS Comprimidos con 30
102 PLUS,Comprimidos con 60,,,,,,,,,,,,,,,,,,,,,102 PLUS Comprimidos con 60
102 PLUS,Comprimidos con 90,,,,,,,,,,,,,,,,,,,,,102 PLUS Comprimidos con 90
102 PLUS EFERVESCENTE,Polvo efervecente con 15 sobres,,,,,,,,,,,,,,,,,,,,,102 PLUS EFERVESCENTE Polvo efervecente con 15 sobres
,,,,,,,,,,,,,,,,,,,,,, 
102 MAGNESIO,Comprimidos con 30,,,,,,,,,,,,,,,,,,,,,102 MAGNESIO Comprimidos con 30
102 MAGNESIO Gummies,Frasco con 90 unid,,,,,,,,,,,,,,,,,,,,,102 MAGNESIO Gummies Frasco con 90 unid
102 MUJER,CÃ¡psulas blandas con 30,,,,,,,,,,,,,,,,,,,,,102 MUJER CÃ¡psulas blandas con 30
102 SPORT BCAA,Polvo con 30 sobres,,,,,,,,,,,,,,,,,,,,,102 SPORT BCAA Polvo con 30 sobres
102 SPORT MAX,Polvo con 30 sobres,,,,,,,,,,,,,,,,,,,,,102 SPORT MAX Polvo con 30 sobres
,,,,,,,,,,,,,,,,,,,,,, 
ALERMUC,Comprimidos con 10 comprimidos,,,,,,,,,,,,,,,,,,,,,ALERMUC Comprimidos con 10 comprimidos
ALERMUC,Comprimidos con 30 comprimidos,,,,,,,,,,,,,,,,,,,,,ALERMUC Comprimidos con 30 comprimidos
,,,,,,,,,,,,,,,,,,,,,, 
ATOMO ACEITE VERDE IMVI,Aceite x 120 ml,,,,,,,,,,,,,,,,,,,,,ATOMO ACEITE VERDE IMVI Aceite x 120 ml
ATOMO ACEITE CBD IMVI,Aceite x 120 ml,,,,,,,,,,,,,,,,,,,,,ATOMO ACEITE CBD IMVI Aceite x 120 ml
,,,,,,,,,,,,,,,,,,,,,, 
ATOMO ARNICA IMVI,Gel x 30 gr,,,,,,,,,,,,,,,,,,,,,ATOMO ARNICA IMVI Gel x 30 gr
ATOMO ARNICA IMVI,Gel x 80 gr,,,,,,,,,,,,,,,,,,,,,ATOMO ARNICA IMVI Gel x 80 gr
ATOMO ARNICA IMVI,Roll On x 90 gr,,,,,,,,,,,,,,,,,,,,,ATOMO ARNICA IMVI Roll On x 90 gr
,,,,,,,,,,,,,,,,,,,,,, 
ATOMO CANNABIDIOL CBD IMVI,Crema x 110 gr,,,,,,,,,,,,,,,,,,,,,ATOMO CANNABIDIOL CBD IMVI Crema x 110 gr
,,,,,,,,,,,,,,,,,,,,,, 
ATOMO DESINFLA AEROSOL IMVI (**),Aerosol x 165 gr,,,,,,,,,,,,,,,,,,,,,ATOMO DESINFLA AEROSOL IMVI (**) Aerosol x 165 gr
ATOMO DESINFLA CLAS IMVI (**),Crema x 40 gr,,,,,,,,,,,,,,,,,,,,,ATOMO DESINFLA CLAS IMVI (**) Crema x 40 gr
ATOMO DESINFLA CLAS IMVI (**),Crema x 110 gr,,,,,,,,,,,,,,,,,,,,,ATOMO DESINFLA CLAS IMVI (**) Crema x 110 gr
ATOMO DESINFLA CLAS IMVI (**),Crema x 220 gr,,,,,,,,,,,,,,,,,,,,,ATOMO DESINFLA CLAS IMVI (**) Crema x 220 gr
ATOMO DESINFLA CLAS  MONO IMVI (**),Crema x 10 gr x 15,,,,,,,,,,,,,,,,,,,,,ATOMO DESINFLA CLAS  MONO IMVI (**) Crema x 10 gr x 15
ATOMO DESINFLA FORTE IMVI (**),Crema x 100 gr,,,,,,,,,,,,,,,,,,,,,ATOMO DESINFLA FORTE IMVI (**) Crema x 100 gr
,,,,,,,,,,,,,,,,,,,,,, 
ATOMO DESINFLA GELDIC IMVI (**),Gel x 30 gr,,,,,,,,,,,,,,,,,,,,,ATOMO DESINFLA GELDIC IMVI (**) Gel x 30 gr
ATOMO DESINFLA GELDIC IMVI (**),Gel X 100 gr,,,,,,,,,,,,,,,,,,,,,ATOMO DESINFLA GELDIC IMVI (**) Gel X 100 gr
ATOMO DESINFLA FORTE GELDIC IMVI (**),Gel x 50 gr,,,,,,,,,,,,,,,,,,,,,ATOMO DESINFLA FORTE GELDIC IMVI (**) Gel x 50 gr
,,,,,,,,,,,,,,,,,,,,,, 
CERAX,Gotas con 10 ml,,,,,,,,,,,,,,,,,,,,,CERAX Gotas con 10 ml
,,,,,,,,,,,,,,,,,,,,,, 
CHOFITOL,Comprimidos con 20 comprimidos,,,,,,,,,,,,,,,,,,,,,CHOFITOL Comprimidos con 20 comprimidos
CHOFITOL PLUS,Gotas con 40 ml,,,,,,,,,,,,,,,,,,,,,CHOFITOL PLUS Gotas con 40 ml
CHOFITOL PLUS,Gotas con 120 ml,,,,,,,,,,,,,,,,,,,,,CHOFITOL PLUS Gotas con 120 ml
,,,,,,,,,,,,,,,,,,,,,, 
COLLUBIAZOL N,Spray con 45 ml,,,,,,,,,,,,,,,,,,,,,COLLUBIAZOL N Spray con 45 ml
,,,,,,,,,,,,,,,,,,,,,, 
COLTIX ADVANCE,Gotas x 12 ml,,,,,,,,,,,,,,,,,,,,,COLTIX ADVANCE Gotas x 12 ml
COLTIX ALERX,Gotas x 5 ml,,,,,,,,,,,,,,,,,,,,,COLTIX ALERX Gotas x 5 ml
COLTIX COLIRIO,Gotas con 12 ml,,,,,,,,,,,,,,,,,,,,,COLTIX COLIRIO Gotas con 12 ml
COLTIX HIDRA,Gotas x 12 ml,,,,,,,,,,,,,,,,,,,,,COLTIX HIDRA Gotas x 12 ml
COLTIX MULTIPROPÃSITO,SoluciÃ³n x 150 ml,,,,,,,,,,,,,,,,,,,,,COLTIX MULTIPROPÃSITO SoluciÃ³n x 150 ml
,,,,,,,,,,,,,,,,,,,,,, 
CURFLEX CBD x 100 gr con aroma,Pomo x 100 gr,,,,,,,,,,,,,,,,,,,,,CURFLEX CBD x 100 gr con aroma Pomo x 100 gr
CURFLEX CBD x 100 gr sin aroma,Pomo x 100 gr,,,,,,,,,,,,,,,,,,,,,CURFLEX CBD x 100 gr sin aroma Pomo x 100 gr
,,,,,,,,,,,,,,,,,,,,,, 
CURFLEX DUO,Pote 310 gr,,,,,,,,,,,,,,,,,,,,,CURFLEX DUO Pote 310 gr
,,,,,,,,,,,,,,,,,,,,,, 
CURFLEX PLUS,Comprimidos con 30,,,,,,,,,,,,,,,,,,,,,CURFLEX PLUS Comprimidos con 30
,,,,,,,,,,,,,,,,,,,,,, 
CURFLEX UCII,Comprimidos con 30,,,,,,,,,,,,,,,,,,,,,CURFLEX UCII Comprimidos con 30
,,,,,,,,,,,,,,,,,,,,,, 
CURFLEX UCII+CURFLEX CBD S/AR,Pack 30 compr + 100 gr crema,,,,,,,,,,,,,,,,,,,,,CURFLEX UCII+CURFLEX CBD S/AR Pack 30 compr + 100 gr crema
,,,,,,,,,,,,,,,,,,,,,, 
CURFLEX TRIPLE ACCION,Comprimidos con 30,,,,,,,,,,,,,,,,,,,,,CURFLEX TRIPLE ACCION Comprimidos con 30
,,,,,,,,,,,,,,,,,,,,,, 
CURFLEX PLUS + CURFLEX CBD C/AR,30 compr + 100 gr crema,,,,,,,,,,,,,,,,,,,,,CURFLEX PLUS + CURFLEX CBD C/AR 30 compr + 100 gr crema
,,,,,,,,,,,,,,,,,,,,,, 
GYNODERM CARE IMVI,Gel x 40 gr,,,,,,,,,,,,,,,,,,,,,GYNODERM CARE IMVI Gel x 40 gr
,,,,,,,,,,,,,,,,,,,,,, 
GYNODERM HYALU 02% IMVI,JabÃ³n lÃ­quido con 180 ml,,,,,,,,,,,,,,,,,,,,,GYNODERM HYALU 02% IMVI JabÃ³n lÃ­quido con 180 ml
,,,,,,,,,,,,,,,,,,,,,, 
GYNODERM JABÃN LÃQUIDO IMVI,JabÃ³n lÃ­quido con 180 ml,,,,,,,,,,,,,,,,,,,,,GYNODERM JABÃN LÃQUIDO IMVI JabÃ³n lÃ­quido con 180 ml
,,,,,,,,,,,,,,,,,,,,,, 
HEXA DEFITAL NF,LociÃ³n con 120 ml,,,,,,,,,,,,,,,,,,,,,HEXA DEFITAL NF LociÃ³n con 120 ml
HEXA DEFITAL NF,Shampoo con 120 ml,,,,,,,,,,,,,,,,,,,,,HEXA DEFITAL NF Shampoo con 120 ml
HEXA REPELENTE MOSQUITO*,Aerosol con 170ml,,,,,,,,,,,,,,,,,,,,,HEXA REPELENTE MOSQUITO* Aerosol con 170ml
,,,,,,,,,,,,,,,,,,,,,, 
IBU MEJORAL 400,Comprimidos con 10 comprimidos,,,,,,,,,,,,,,,,,,,,,IBU MEJORAL 400 Comprimidos con 10 comprimidos
IBU MEJORAL NIÃOS  4%,SoluciÃ³n con 90 ml,,,,,,,,,,,,,,,,,,,,,IBU MEJORAL NIÃOS  4% SoluciÃ³n con 90 ml
IBU MEJORAL RA 400,CÃ¡psulas con 10 cÃ¡psulas,,,,,,,,,,,,,,,,,,,,,IBU MEJORAL RA 400 CÃ¡psulas con 10 cÃ¡psulas
,,,,,,,,,,,,,,,,,,,,,, 
MEGACISTIN,Comprimidos con 60,,,,,,,,,,,,,,,,,,,,,MEGACISTIN Comprimidos con 60
MEGACISTIN,Shampoo con 200 ml,,,,,,,,,,,,,,,,,,,,,MEGACISTIN Shampoo con 200 ml
MEGACISTIN COLÃGENO,Polvo con  350 Gr,,,,,,,,,,,,,,,,,,,,,MEGACISTIN COLÃGENO Polvo con  350 Gr
MEGACISTIN BLOCKER,CÃ¡psulas blandas con 30,,,,,,,,,,,,,,,,,,,,,MEGACISTIN BLOCKER CÃ¡psulas blandas con 30
MEGACISTIN MAX,Comprimidos con 30,,,,,,,,,,,,,,,,,,,,,MEGACISTIN MAX Comprimidos con 30
MEGACISTIN MAX,LociÃ³n con 120 ml,,,,,,,,,,,,,,,,,,,,,MEGACISTIN MAX LociÃ³n con 120 ml
MEGACISTIN MAX,Shampoo con 200 ml,,,,,,,,,,,,,,,,,,,,,MEGACISTIN MAX Shampoo con 200 ml
,,,,,,,,,,,,,,,,,,,,,, 
MEJORAL PARA NIÃOS 80 mg,Comprimidos masticables con 20 comprimidos masticables,,,,,,,,,,,,,,,,,,,,,MEJORAL PARA NIÃOS 80 mg Comprimidos masticables con 20 comprimidos masticables
MEJORAL PARA NIÃOS EXPENDEDOR,Comprimidos masticables con 30 blister con 10 comp. masticables,,,,,,,,,,,,,,,,,,,,,MEJORAL PARA NIÃOS EXPENDEDOR Comprimidos masticables con 30 blister con 10 comp. masticables
MEJORAL PARA NIÃOS GOTAS,SoluciÃ³n con 1 frasco con 20 ml,,,,,,,,,,,,,,,,,,,,,MEJORAL PARA NIÃOS GOTAS SoluciÃ³n con 1 frasco con 20 ml
MEJORAL PARA NIÃOS JUNIOR  160 mg,Comprimidos masticables con 10 comprimidos masticables,,,,,,,,,,,,,,,,,,,,,MEJORAL PARA NIÃOS JUNIOR  160 mg Comprimidos masticables con 10 comprimidos masticables
MEJORAL PARA NIÃOS JUNIOR  160 mg,Comprimidos masticables con 20 comprimidos masticables,,,,,,,,,,,,,,,,,,,,,MEJORAL PARA NIÃOS JUNIOR  160 mg Comprimidos masticables con 20 comprimidos masticables
MEJORAL PARA NIÃOS JUNIOR EXPENDEDOR,Comprimidos masticables con 30 blister con 10 comp. masticables,,,,,,,,,,,,,,,,,,,,,MEJORAL PARA NIÃOS JUNIOR EXPENDEDOR Comprimidos masticables con 30 blister con 10 comp. masticables
,,,,,,,,,,,,,,,,,,,,,, 
MEJORAL PAR. 500 mg,Comprimidos masticables con 30 comprimidos masticables,,,,,,,,,,,,,,,,,,,,,MEJORAL PAR. 500 mg Comprimidos masticables con 30 comprimidos masticables
,,,,,,,,,,,,,,,,,,,,,, 
MELATOL 3 mg,CÃ¡psulas con 30 cÃ¡psulas,,,,,,,,,,,,,,,,,,,,,MELATOL 3 mg CÃ¡psulas con 30 cÃ¡psulas
MELATOL 3 mg,CÃ¡psulas con 60 cÃ¡psulas,,,,,,,,,,,,,,,,,,,,,MELATOL 3 mg CÃ¡psulas con 60 cÃ¡psulas
MELATOL 3 mg,Comprimidos con 15 comprimidos,,,,,,,,,,,,,,,,,,,,,MELATOL 3 mg Comprimidos con 15 comprimidos
MELATOL 3 mg,Comprimidos con 30 comprimidos,,,,,,,,,,,,,,,,,,,,,MELATOL 3 mg Comprimidos con 30 comprimidos
MELATOL 3 mg,Comprimidos con 60 comprimidos,,,,,,,,,,,,,,,,,,,,,MELATOL 3 mg Comprimidos con 60 comprimidos
MELATOL DIFEN,Comprimidos con 10 comprimidos,,,,,,,,,,,,,,,,,,,,,MELATOL DIFEN Comprimidos con 10 comprimidos
MELATOL PLUS,Comprimidos con 20 comprimidos,,,,,,,,,,,,,,,,,,,,,MELATOL PLUS Comprimidos con 20 comprimidos
MELATOL PLUS,Comprimidos con 30 comprimidos,,,,,,,,,,,,,,,,,,,,,MELATOL PLUS Comprimidos con 30 comprimidos
MELATOL DIA RELAX,Comprimidos con 20 comprimidos,,,,,,,,,,,,,,,,,,,,,MELATOL DIA RELAX Comprimidos con 20 comprimidos
MELATOL DIA RELAX,Comprimidos con 30 comprimidos,,,,,,,,,,,,,,,,,,,,,MELATOL DIA RELAX Comprimidos con 30 comprimidos
,,,,,,,,,,,,,,,,,,,,,, 
MERTHIOLATE ANESTESICO,SoluciÃ³n  con 45 ml,,,,,,,,,,,,,,,,,,,,,MERTHIOLATE ANESTESICO SoluciÃ³n  con 45 ml
MERTHIOLATE ANESTESICO,SoluciÃ³n  con 60 ml,,,,,,,,,,,,,,,,,,,,,MERTHIOLATE ANESTESICO SoluciÃ³n  con 60 ml
MERTHIOLATE BEBE,Crema con 40 gamos,,,,,,,,,,,,,,,,,,,,,MERTHIOLATE BEBE Crema con 40 gamos
MERTHIOLATE CICATRIZANTE,Crema con 50 gramos,,,,,,,,,,,,,,,,,,,,,MERTHIOLATE CICATRIZANTE Crema con 50 gramos
MERTHIOLATE FILM,Aerosol con 30 ml,,,,,,,,,,,,,,,,,,,,,MERTHIOLATE FILM Aerosol con 30 ml
MERTHIOLATE INCOLORO NF GOTERO,SoluciÃ³n  con 60 ml,,,,,,,,,,,,,,,,,,,,,MERTHIOLATE INCOLORO NF GOTERO SoluciÃ³n  con 60 ml
MERTHIOLATE IODOPOVIDONA,SoluciÃ³n  con 60 ml,,,,,,,,,,,,,,,,,,,,,MERTHIOLATE IODOPOVIDONA SoluciÃ³n  con 60 ml
MERTHIOLATE NF SPRAY,SoluciÃ³n  con 60 ml,,,,,,,,,,,,,,,,,,,,,MERTHIOLATE NF SPRAY SoluciÃ³n  con 60 ml
,,,,,,,,,,,,,,,,,,,,,, 
METABOLICÂ  CLA,CÃ¡psulas Capsulas blandas x 28,,,,,,,,,,,,,,,,,,,,,METABOLICÂ  CLA CÃ¡psulas Capsulas blandas x 28
METABOLICÂ  CLA,CÃ¡psulas Capsulas blandas x 60,,,,,,,,,,,,,,,,,,,,,METABOLICÂ  CLA CÃ¡psulas Capsulas blandas x 60
METABOLIC MAX,CÃ¡psulas Capsulas blandas x 60,,,,,,,,,,,,,,,,,,,,,METABOLIC MAX CÃ¡psulas Capsulas blandas x 60
,,,,,,,,,,,,,,,,,,,,,, 
NEUMOBRON,Caramelos con 9,,,,,,,,,,,,,,,,,,,,,NEUMOBRON Caramelos con 9
NEUMOBRON TOS,Jarabe con 120 ml,,,,,,,,,,,,,,,,,,,,,NEUMOBRON TOS Jarabe con 120 ml
,,,,,,,,,,,,,,,,,,,,,, 
ORALSONE BENZOCAINA,Gel con 10 gramos,,,,,,,,,,,,,,,,,,,,,ORALSONE BENZOCAINA Gel con 10 gramos
ORALSONE C,Caramelos con 9,,,,,,,,,,,,,,,,,,,,,ORALSONE C Caramelos con 9
ORALSONE HERPES,Crema con 5 gramos,,,,,,,,,,,,,,,,,,,,,ORALSONE HERPES Crema con 5 gramos
ORALSONE TOPIC,SoluciÃ³n  con 20 ml,,,,,,,,,,,,,,,,,,,,,ORALSONE TOPIC SoluciÃ³n  con 20 ml
ORALSONE TOPIC MAX,SoluciÃ³n  con 20 ml,,,,,,,,,,,,,,,,,,,,,ORALSONE TOPIC MAX SoluciÃ³n  con 20 ml
,,,,,,,,,,,,,,,,,,,,,, 
PERGALEN NF,Crema con 30 g,,,,,,,,,,,,,,,,,,,,,PERGALEN NF Crema con 30 g
,,,,,,,,,,,,,,,,,,,,,, 
SINRONCAR SPRAY BUCAL,Spray con 50 ml,,,,,,,,,,,,,,,,,,,,,SINRONCAR SPRAY BUCAL Spray con 50 ml
,,,,,,,,,,,,,,,,,,,,,, 
SNELLA GEL,Gel 60 gr,,,,,,,,,,,,,,,,,,,,,SNELLA GEL Gel 60 gr
SNELLA JABÃN INTIMO,JabÃ³n lÃ­quido con 220 ml,,,,,,,,,,,,,,,,,,,,,SNELLA JABÃN INTIMO JabÃ³n lÃ­quido con 220 ml
,,,,,,,,,,,,,,,,,,,,,, 
VARISEDAN IMVI,Gel 400 gr,,,,,,,,,,,,,,,,,,,,,VARISEDAN IMVI Gel 400 gr
VARISEDAN IMVI (**),Comprimidos con 30,,,,,,,,,,,,,,,,,,,,,VARISEDAN IMVI (**) Comprimidos con 30
VARISEDAN IMVI (**),Comprimidos con 60,,,,,,,,,,,,,,,,,,,,,VARISEDAN IMVI (**) Comprimidos con 60
,,,,,,,,,,,,,,,,,,,,,, 
VARISEDAN BODY IMVI,Frasco x 400 ml,,,,,,,,,,,,,,,,,,,,,VARISEDAN BODY IMVI Frasco x 400 ml
,,,,,,,,,,,,,,,,,,,,,, 
VARISEDAN & BODY IMVI,KIT x 800 ml,,,,,,,,,,,,,,,,,,,,,VARISEDAN & BODY IMVI KIT x 800 ml
,,,,,,,,,,,,,,,,,,,,,, 
VITENE CELULLITE,CÃ¡psulas con 30,,,,,,,,,,,,,,,,,,,,,VITENE CELULLITE CÃ¡psulas con 30
,,,,,,,,,,,,,,,,,,,,,, 
ZENELIS MAREOS,Comprimidos con 10,,,,,,,,,,,,,,,,,,,,,ZENELIS MAREOS Comprimidos con 10
COLAGENO NUTRIFARMA,Comprimidos con 30 comprimidos,,,,,,,,,,,,,,,,,,,,,COLAGENO NUTRIFARMA Comprimidos con 30 comprimidos
LEVADURA VIRGEN MANZANA,Caja con 1 caja con 200 g,,,,,,,,,,,,,,,,,,,,,LEVADURA VIRGEN MANZANA Caja con 1 caja con 200 g
LEVADURA VIRGEN NUTRILEVA NATURAL,Caja con 1 caja con 200 g,,,,,,,,,,,,,,,,,,,,,LEVADURA VIRGEN NUTRILEVA NATURAL Caja con 1 caja con 200 g
LEVADURA VIRGEN NUTRILEVA NATURAL,Caja con 1 caja con 500 g,,,,,,,,,,,,,,,,,,,,,LEVADURA VIRGEN NUTRILEVA NATURAL Caja con 1 caja con 500 g
LEVADURA VIRGEN NUTRILEVA QUESO,Caja con 1 caja con 200 g,,,,,,,,,,,,,,,,,,,,,LEVADURA VIRGEN NUTRILEVA QUESO Caja con 1 caja con 200 g
OMEGA 3 NUTRIFARMA,CÃ¡psulas blandas 1000 mg con 30 capsulas blandas,,,,,,,,,,,,,,,,,,,,,OMEGA 3 NUTRIFARMA CÃ¡psulas blandas 1000 mg con 30 capsulas blandas
REPELLWORK LOC,Spray con 100 ml,,,,,,,,,,,,,,,,,,,,,REPELLWORK LOC Spray con 100 ml
,,,,,,,,,,,,,,,,,,,,,, 
ADEROGYL con 1,"1,10E+11",,,,,,,,,,,,,,,,,,,,,"ADEROGYL con 1 1,10E+11"
,"1,10E+11",,,,,,,,,,,,,,,,,,,,," 1,10E+11"
APASMOcon 20 ml,"1,10E+11",,,,,,,,,,,,,,,,,,,,,"APASMOcon 20 ml 1,10E+11"
APASMO COMPUESTO con 20 comprimidos,,,,,,,,,,,,,,,,,,,,,,APASMO COMPUESTO con 20 comprimidos 
,"1,10E+11",,,,,,,,,,,,,,,,,,,,," 1,10E+11"
IBU MEJORAL 600con 10 comprimidos,,,,,,,,,,,,,,,,,,,,,,IBU MEJORAL 600con 10 comprimidos 
,"1,10E+11",,,,,,,,,,,,,,,,,,,,," 1,10E+11"
IBU MEJORAL RA 600con 10 cÃ¡psulas,,,,,,,,,,,,,,,,,,,,,,IBU MEJORAL RA 600con 10 cÃ¡psulas 
IBU MEJORAL RA 600con 20 cÃ¡psulas,"1,10E+11",,,,,,,,,,,,,,,,,,,,,"IBU MEJORAL RA 600con 20 cÃ¡psulas 1,10E+11"
,,,,,,,,,,,,,,,,,,,,,, 
IBU MEJORAL FLEX  con 10 comprimidos,"1,10E+11",,,,,,,,,,,,,,,,,,,,,"IBU MEJORAL FLEX  con 10 comprimidos 1,10E+11"
IBU MEJORAL FLEX  600 con 10 comprimidos,"1,10E+11",,,,,,,,,,,,,,,,,,,,,"IBU MEJORAL FLEX  600 con 10 comprimidos 1,10E+11"
,"1,10E+11",,,,,,,,,,,,,,,,,,,,," 1,10E+11"
MARATHON caps blandas TEVA (**)con 30 cÃ¡psulas,"1,10E+11",,,,,,,,,,,,,,,,,,,,,"MARATHON caps blandas TEVA (**)con 30 cÃ¡psulas 1,10E+11"
MARATHON caps blandas TEVA (**)con 60 cÃ¡psulas,"1,10E+11",,,,,,,,,,,,,,,,,,,,,"MARATHON caps blandas TEVA (**)con 60 cÃ¡psulas 1,10E+11"
ALKET,SoluciÃ³n OftÃ¡lmica EstÃ©ril Frasco por  5 ml,,,,,,Frasco por  5 ml,"Epinastina HCL 0,05%",SoluciÃ³n OftÃ¡lmica EstÃ©ril,,,,,,,,,,,,,ALKET SoluciÃ³n OftÃ¡lmica EstÃ©ril Frasco por  5 ml
ALOSOL,SoluciÃ³n OftÃ¡lmica EstÃ©ril Frasco por 10 ml,,,,,,Frasco por 10 ml,"Oximetazolina 0,025%",SoluciÃ³n OftÃ¡lmica EstÃ©ril,,,,,,,,,,,,,ALOSOL SoluciÃ³n OftÃ¡lmica EstÃ©ril Frasco por 10 ml
ANTILERG,SoluciÃ³n OftÃ¡lmica EstÃ©ril Frasco por 10 ml,,,,,,Frasco por 10 ml,"Ketotifeno 0,05%",SoluciÃ³n OftÃ¡lmica EstÃ©ril,,,,,,,,,,,,,ANTILERG SoluciÃ³n OftÃ¡lmica EstÃ©ril Frasco por 10 ml
BRIT,SoluciÃ³n OftÃ¡lmica EstÃ©ril Frasco por 5 ml,,,,,,Frasco por 5 ml,"Brimonidina 0,2% + Timolol 0,5%",SoluciÃ³n OftÃ¡lmica EstÃ©ril,,,,,,,,,,,,,BRIT SoluciÃ³n OftÃ¡lmica EstÃ©ril Frasco por 5 ml
