"PUBLICADO/
NO PUBLICADO",U N,LINEA,EAN,COD. DISPRO,COD. ELEA,COD. CID LATINA,REGISTRO ALFABETA,CODIGO KAIROS,PAMI,CERTIF NRO,descripcion,presentacion
PUBLICADO,P.C.,Cardio,7796285053499,12661,25349,2413304,41194,183594,57085520,48775,CRISPLUS 60 MG.,Cápsulas x 60.
PUBLICADO,P.C.,Antiinfectivos,7796285048969,9222,24896,2414903,18828,85301,41759410,45643,CRONOPEN,Comprimidos recubiertos x 3
PUBLICADO,P.C.,Antiinfectivos,7796285049256,9221,24925,2414904,18829,85302,41759420,45643,CRONOPEN,Comprimidos recubiertos x 5
PUBLICADO,P.C.,Antiinfectivos,7796285051563,10306,25156,2414901,34859,85306,41759430,45643,CRONOPEN,Comprimidos recubiertos x 6
PUBLICADO,P.C.,Antiinfectivos,7796285048976,9223,24897,2414906,18830,85303,41760110,45643,CRONOPEN,Suspensión x 15 ml.
PUBLICADO,P.C.,Antiinfectivos,7796285049249,9220,24924,2414905,18831,85304,41760120,45643,CRONOPEN,Suspensión x 30 ml.
PUBLICADO,P.C.,Antiinfectivos,7796285276850,16686,27685,2415011,51021,83179,21068360,34330,CRONOPEN BALSAMICO ADULT.,Inyectable. Fco ampolla x 2/2 x 5 ml.
PUBLICADO,P.C.,Antiinfectivos,7796285275211,16212,27521,2415010,49987,83178,21068350,34330,CRONOPEN BALSAMICO ADULT.,Inyectable. Fco ampolla x 4/4 x 5 ml.
PUBLICADO,P.C.,Antiinfectivos,7796285048808,7252,24880,2415004,5724,83171,21069120,34330,CRONOPEN BALSAMICO INF.,"Inyectable. Fco ampolla x 3/3 x 2,5 ml."
PUBLICADO,OTC,OTC,7796285290733,21276,29073,,60529,,,,CVP CANNABIDIOL ,Crema x 400 gr
PUBLICADO,OTC,OTC,7796285279806,19562,27980,9009006,57516,,,,CVP FLEBO,Comp. Masticables x 30
PUBLICADO,OTC,OTC,7796285292973,21478,29297,,61144,,,,CVP FLEBO,CVP FLEBO COMP MASTIC X 60
PUBLICADO,P.C.,Cardio,7796285283025,19104,28590,9006520,55804,274942,638600-1,57901,DABIDANE 110 MG.,Cápsulas x 30
PUBLICADO,P.C.,Cardio,7796285283643,19106,28591,9006521,55805,274943,638600-2,57901,DABIDANE 110 MG.,Cápsulas x 60
PUBLICADO,P.C.,Cardio,7796285283032,19108,28592,9006522,55806,274944,638613-1,57901,DABIDANE 150 MG.,Cápsulas x 30
PUBLICADO,P.C.,Cardio,7796285283650,19105,28593,9006523,55807,274945,638613-2,57901,DABIDANE 150 MG.,Cápsulas x 60
PUBLICADO,P.C.,Cardio,7796285283063,19107,28594,9006519,55803,274941,638626-1,57901,DABIDANE 75 MG.,Cápsulas x 30
PUBLICADO,P.C.,Cardio,7791848265036,4135,28181,2425204,28931,131413,4673831,47699,DACTEN,16 MG. X 15 COMP.           
PUBLICADO,P.C.,Cardio,7791848265043,4139,28182,2425205,28932,131414,4673832,47699,DACTEN,16 MG. X 30 COMP.           
PUBLICADO,P.C.,Cardio,7791848265012,4122,28179,2425202,28929,131411,4673911,47699,DACTEN,8 MG. X 15 COMP.            
PUBLICADO,P.C.,Cardio,7791848265029,4134,28180,2425203,28930,131412,4673912,47699,DACTEN,8 MG. X 30 COMP.            
PUBLICADO,P.C.,Cardio,7791848265050,7017,28183,2425301,31337,142411,5023041,50222,DACTEN D,X 15 COMP.                  
PUBLICADO,P.C.,Cardio,7791848265067,7018,28184,2425302,31338,142412,5023042,50222,DACTEN D,X 30 COMP.                  
PUBLICADO,P.C.,Cardio,5000456063647,19756,28740,9010523,58776,,650039-1,,DACTILUS,28 comprimidos recubiertos x 10 mg
PUBLICADO,P.C.,Urología,7796285054168,13238,25416,3663203,43580,204334,58247110,54839,DARISEC 15 MG.,Comprimidos x 30
PUBLICADO,P.C.,Urología,7796285054410,13329,25441,3663202,43577,204331,58246820,54839,"DARISEC 7,5 MG.",Comprimidos x 15
PUBLICADO,P.C.,Urología,7796285054175,13237,25417,3663201,43578,204332,58246810,54839,"DARISEC 7,5 MG.",Comprimidos x 30
PUBLICADO,P.C.,Visual,7796285254971,13683,25497,2440201,36802,167041,53448410,51925,DELTAR,SUSP. OFT. x 10 ML
PUBLICADO,P.C.,Vías Respiratorias,7796285286705,19585,28670,2440403,5044,11983,517304,,DELTISONA B, 4 MG * 20 COMP
PUBLICADO,P.C.,Vías Respiratorias,7796285286729,19583,28672,2440404,5045,11984,1768272,,DELTISONA B, 40 MG * 20 COMP
PUBLICADO,P.C.,Vías Respiratorias,7796285286712,19582,28671,2440406,5047,11986,520852,,DELTISONA B, 8 MG * 20 COMP
PUBLICADO,P.C.,Vías Respiratorias,7796285286736,19586,28673,2440401,40006,11987,519963,,DELTISONA B,GOTAS NF x 20 ML
PUBLICADO,P.C.,Cardio,7791848253323,18662,25332,2463801,41219,193171,56986810,54080,DIABUTIL,2 MG. COMP. x 30
PUBLICADO,P.C.,Cardio,7796285053352,18663,25335,2463804,41222,193174,56987120,54080,DIABUTIL,4 MG. COMP. x 30
PUBLICADO,OTC,OTC,7796285054496,13568,25449,3721401,45116,211851,,5726,DISCRETEST,Envase x 1
PUBLICADO,P.C.,Urología,7791848239020,7853,28149,2490002,7958,13731,2923762,38288,DITROPAN,COMP. X 20            
PUBLICADO,P.C.,Urología,7791848239037,14047,28150,2490004,46871,13734,2923763,38288,DITROPAN,COMP. X 30            
PUBLICADO,P.C.,Urología,7791848239013,7733,28148,2490003,9494,13732,2923761,38288,DITROPAN,COMP. X 50            
PUBLICADO,P.C.,Urología,7791848239518,7838,28151,2490001,283,13733,3083631,38288,DITROPAN,JARABE  X  200 ML.          
PUBLICADO,P.C.,Urología,7791848253064,14073,28166,2490105,46488,100385,4484082,38288,DITROPAN UD,10 MG X 30 COMP. REC. LIB. CONT.
PUBLICADO,P.C.,Urología,7791848253026,1300,28162,2490102,22519,100381,4484081,38288,DITROPAN UD,10 MG. X20 COMP. REC. LIB. CONT-
PUBLICADO,P.C.,Urología,7791848253071,14074,28167,2490106,46489,100386,4401312,38288,DITROPAN UD,15 MG X 30 COMP. REC. LIB. CONT.
PUBLICADO,P.C.,Urología,7791848253033,1301,28163,2490103,22520,100382,4401311,38288,DITROPAN UD,15 MG. X20 COMP. REC. LIB. CONT.
PUBLICADO,P.C.,Urología,7791848253057,14053,28165,2490104,46487,100384,4636542,38288,DITROPAN UD,5 MG. X 30 COMP. REC .LIB. CONT.
PUBLICADO,P.C.,Urología,7791848253040,2278,28164,2490101,24602,100383,4636541,38288,DITROPAN UD,5 MG. X20 COMP. REC. LIB. CONT.
PUBLICADO,P.C.,Anticoncepcion,7796285052720,11967,25272,2490901,38154,176571,,51502,DIVA,Comprimidos recubiertos x 28
NO PUBLICADO,P.C.,Anticoncepcion,7796285286255,19423,28625,,0,,,,DIVA,Comprimidos recubiertos x 28 s-troquel
PUBLICADO,P.C.,Anticoncepcion,7796285276577,16555,27657,2490902,50845,176572,,51502,DIVA,Comprimidos recubiertos x 56
PUBLICADO,P.C.,Anticoncepcion,7796285276584,16556,27658,2491002,50847,183782,,51502,DIVA TOTAL,Comprimidos recubiertos x 56
PUBLICADO,P.C.,Anticoncepcion,7796285053017,12000,25301,2491001,39350,183781,,51502,DIVA TOTAL,Comprimidos x 24 + 4 de placebo
NO PUBLICADO,P.C.,Anticoncepcion,7796285286262,19424,28626,,0,,,,DIVA TOTAL,Comprimidos x 24 + 4 s-troquel
PUBLICADO,P.C.,Anticoncepcion,7796285051426,10219,25142,2491101,34619,157521,,51502,DIVINA,Comprimidos recubiertos x 28
NO PUBLICADO,P.C.,Anticoncepcion,7796285286248,19422,28624,,0,,,,DIVINA,Comprimidos recubiertos x 28 s-troquel
PUBLICADO,P.C.,Anticoncepcion,7796285273132,14959,27313,2491102,48324,157522,,51502,DIVINA,Comprimidos recubiertos x 84
PUBLICADO,P.C.,Osteo,7791848270542,18682,27054,2495705,36472,166662,23645721,35216,DOLO-NERVOBION,10000 6P-AMP-NF
PUBLICADO,P.C.,Osteo,7796285270568,18683,27056,2495702,13635,13905,36753320,42403,DOLO-NERVOBION,CÁPSULAS x 20
PUBLICADO,P.C.,Anticoncepcion,7796285047108,8512,24710,2502302,10107,14091,28780610,37677,DOS  DIAS  N,Comprimidos x 2.
PUBLICADO,P.C.,Cardio,7796285297039,21907,29703,,,,,,DUTIDE,14MG COMP X30
PUBLICADO,P.C.,Cardio,7796285297015,21905,29701,,,,,,DUTIDE,3MG COMP X30
PUBLICADO,P.C.,Cardio,7796285297022,21906,29702,,,,,,DUTIDE,7MG COMP X30
PUBLICADO,P.C.,Antiinfectivos,7798033000175,13713,12400,2517801,6314,14591,,24401,DURANIL,Líquido.  Frasco x 200 ml
PUBLICADO,P.C.,Fertilidad y Embarazo,7796285050443,7021,25044,2527101,31309,142061,50608310,50482,EGESTAN FOLICO 1 MG.,Comprimidos x 30
PUBLICADO,P.C.,Fertilidad y Embarazo,7796285050450,7022,25045,2527102,31310,142062,50608320,50482,EGESTAN FOLICO 1 MG.,Comprimidos x 60
PUBLICADO,P.C.,Fertilidad y Embarazo,7796285050467,7390,25046,2527103,31311,142063,50610110,50482,EGESTAN FOLICO 5 MG.,Comprimidos x 30
PUBLICADO,P.C.,Fertilidad y Embarazo,7796285050474,7533,25047,2527104,31312,142064,50610120,50482,EGESTAN FOLICO 5 MG.,Comprimidos x 60
PUBLICADO,P.C.,Fertilidad y Embarazo,7796285291013,21573,29101,,61297,,,,EGESTAN 10MG,Comprimidos x 60
PUBLICADO,P.C.,Fertilidad y Embarazo,7796285291006,21572,29100,,61296,,,,EGESTAN 10MG,Comprimidos x 30
PUBLICADO,P.C.,Anticoncepcion,7796285282936,19102,28293,9006627,55887,275231,652971-1,58760,ELLERING ANILLO VAGINAL,Envase x 1
PUBLICADO,P.C.,Cardio,7791848248220,18654,24822,2533701,12215,51141,37387910,42911,ELPI LIP,COMP. x 30.
PUBLICADO,P.C.,Neurociencias,7792690000646,5820,20064,2549302,30092,15545,7883320,8787,EPAMIN,Cápsulas.  Frasco por 30
PUBLICADO,P.C.,Neurociencias,7796285275327,13108,27532,2549307,49509,15548,7883340,8787,EPAMIN,Cápsulas.  Frasco por 60
PUBLICADO,P.C.,Neurociencias,7796285275235,16077,27523,2549309,49487,15549,7883350,8787,EPAMIN,Cápsulas.  Frasco por 90
PUBLICADO,P.C.,Neurociencias,7792690021320,5862,22132,2549303,6316,15543,15844510,8787,EPAMIN,Líquido.  Frasco por 120 ml
PUBLICADO,P.C.,Climaterio,7796285052218,11176,25221,2553501,37020,170071,,52144,EQUIFEM,Comprimidos rec. x 28
PUBLICADO,P.C.,Neurociencias,7796285284053,19804,28405,9010309,58536,,583239-1,54852,EQUILEA,1000 MG COMP X 30
PUBLICADO,P.C.,Neurociencias,7796285284060,19806,28406,9010310,58537,,583239-2,54852,EQUILEA,1000 MG COMP X 60
PUBLICADO,P.C.,Neurociencias,7796285284039,19803,28403,9010307,58534,,583226-1,54852,EQUILEA,500 MG COMP X 30
PUBLICADO,P.C.,Neurociencias,7796285284046,19805,28404,9010308,58535,,583226-3,54852,EQUILEA,500 MG COMP X 60
PUBLICADO,P.C.,Visual,7796285055318,14029,25531,3768401,46125,217431,53447111,51891,ERITROMICINA ELEA,GOTAS OFT. x 5 ML
PUBLICADO,P.C.,Visual,7796285055301,14030,25530,3768402,46126,217432,99461260,51891,ERITROMICINA ELEA,UNGUENTO OFTALMICO x 3.5 GR.
PUBLICADO,P.C.,Vitaminas,7796285270469,18684,27046,2560902,14252,61512,38206020,43410,ESCLEROVITAN ANTIOXID.,CÁPSULAS x 30
PUBLICADO,P.C.,Vitaminas,7796285270476,18685,27047,2560903,15749,61513,38206030,43410,ESCLEROVITAN ANTIOXID.,CÁPSULAS x 60
PUBLICADO,P.C.,Vitaminas,7791848270481,18686,27048,,11480,15863,34978930,27275,ESCLEROVITAN E,CÁPSULAS x 100
PUBLICADO,P.C.,Vitaminas,7791848270504,18687,27050,2561003,11479,15862,34978920,27275,ESCLEROVITAN E,CÁPSULAS x 50
PUBLICADO,P.C.,Cardio,7796285285524,20282,28552,,59919,,,,ESLIPEL 100 MG,100 mg com. X 28
PUBLICADO,P.C.,Cardio,7796285285500,20281,28550,,59917,,,,ESLIPEL 25 MG,25 mg com. X 28
PUBLICADO,P.C.,Cardio,7796285285517,20283,28551,,59918,,,,ESLIPEL 50 MG,50 mg com. X 28
PUBLICADO,P.C.,Cardio,7796285285562,21293,28556,,60502,,,,ESLIPEL MET,50/1000 mg comp x30
PUBLICADO,P.C.,Cardio,7796285285579,21295,28557,,60501,,,,ESLIPEL MET,50/1000 mg comp x 60
PUBLICADO,P.C.,Cardio,7796285285555,21294,28555,,60503,,,,ESLIPEL MET,50/850  mg comp x 60
PUBLICADO,P.C.,Cardio,7796285270957,14311,27095,2581106,21704,96153,42995310,46343,EUTHYROX 100 MCG,Comprimidos x 50
PUBLICADO,P.C.,Cardio,7796285271046,14312,27104,2581110,42759,961510,57525510,46343,EUTHYROX 112 MCG,Comprimidos x 50
PUBLICADO,P.C.,Cardio,7796285270964,14313,27096,2581107,21705,96154,42996110,46343,EUTHYROX 125 MCG,Comprimidos x 50
PUBLICADO,P.C.,Cardio,7796285271053,14314,27105,2581111,42760,961511,57526810,46343,EUTHYROX 137 MCG,Comprimidos x 50
PUBLICADO,P.C.,Cardio,7796285270971,14315,27097,2581108,21706,96155,42997910,46343,EUTHYROX 150 MCG,Comprimidos x 50
PUBLICADO,P.C.,Cardio,7796285270988,14316,27098,2581101,31650,96157,50094110,46343,EUTHYROX 175 MCG,Comprimidos x 50
PUBLICADO,P.C.,Cardio,7796285270995,14317,27099,2581102,31651,96158,50095710,46343,EUTHYROX 200 MCG,Comprimidos x 50
PUBLICADO,P.C.,Cardio,7796285271008,14318,27100,2581103,22839,96156,42992910,46343,EUTHYROX 25 MCG,Comprimidos x 50
PUBLICADO,P.C.,Cardio,7796285271015,14319,27101,2581104,21702,96151,42993710,46343,EUTHYROX 50 MCG,Comprimidos x 50
PUBLICADO,P.C.,Cardio,7796285271022,14320,27102,2581105,21703,96152,42994510,46343,EUTHYROX 75 MCG,Comprimidos x 50
PUBLICADO,P.C.,Cardio,7796285271039,14321,27103,2581109,42758,96159,57524210,46343,EUTHYROX 88 MCG,Comprimidos x 50
PUBLICADO,OTC,OTC,7796285288976,21505,28897,,61185,,,,EVACARE CREMA,EVACARE CREMA VAGINAL X 35 GR
PUBLICADO,OTC,OTC,7796285286811,19726,28681,9009584,58047,,,,EVACARE GYNO,CAPS X 1
PUBLICADO,OTC,OTC,7796285288969,21449,28896,,61027,,,,EVACARE OVULOS,EVACARE OVULOS X 1
PUBLICADO,OTC,OTC,7796285285135,19510,28513,9008375,57093,282392,,,EVACOPA,D40 T1 X 1
PUBLICADO,OTC,OTC,7796285285999,19511,28599,9008374,57092,282391,,,EVACOPA,D44 T2 X 1
PUBLICADO,OTC,OTC,7796285286002,19512,28600,9008376,57099,282393,,,EVACOPA,D48 T3 X 1
PUBLICADO,OTC,OTC,7796285289348,21095,28934,,60338,,,,EVAGINA,JAB ESPUMA X 240 ML
PUBLICADO,OTC,OTC,7796285290740,21166,29074,,60337,,,,EVAGINA,TOALLITAS HUMEDAS X 20
PUBLICADO,OTC,OTC,7796285295073,21686,29507,,61369,,,,KIT EVAGINA,KIT REGALO EVAGINA
PUBLICADO,OTC,OTC,7796285289331,20175,28933,,59268,,,,EVAGINA,GEL POMO X 50 ML
PUBLICADO,OTC,OTC,7796285291181,21284,29118,,60451,,,,EVAGINA,EVAGINA RUTINA COMPLETA PACK AHORRO
PUBLICADO,OTC,OTC,7796285289324,20176,28932,,59267,,,,EVAGINA,JABON LIQUIDO X 200 ML
PUBLICADO,OTC,OTC,7796285290856,21450,29085,,60852,,,,EVAGINA,DEO INTIMO
PUBLICADO,OTC,OTC,7796285290863,21844,29086,,62027,,,,EVAGINA,INTIMO X30 ML
PUBLICADO,OTC,OTC,7796285297077,21979,29707,,,,,,EVAGINA,EVAGINA HIGIENE-30FF PACK AHORRO
PUBLICADO,OTC,OTC,7796285297084,21980,29708,,,,,,EVAGINA TRADEPACK,EVAGINA TRADEPACK LÍNEA
PUBLICADO,OTC,OTC,7796285277819,17807,27781,4066601,52856,259591,,8382,EVAPLAN DIGITAL,Envase x 7
PUBLICADO,OTC,OTC,7796285273941,15809,27394,3905501,49055,236241,,5726,EVATEST CLASSIC,Envase x 1
PUBLICADO,OTC,OTC,7796285275303,17809,27530,4062601,52758,259181,,8367,EVATEST DIGITAL,Envase x 1
PUBLICADO,OTC,OTC,7796285286828,19865,28682,9010691,58858,,,,EVATEST EASY PLUS,Envase x 1
PUBLICADO,OTC,OTC,7796285284565,19527,28456,9008377,57132,282731,,,EVATEST SIMPLE,TEST x 1
PUBLICADO,OTC,OTC,7796285288617,19910,28861,,,,,,EVATEST CLASSIC PROMO,EVATEST CLASSIC PROMO ANIVERSARIO
PUBLICADO,P.C.,Anticoncepcion,7796285290849,21345,29084,,32517,,,,EVRA,Parche x 3
PUBLICADO,OTC,OTC,7796285286491,19490,28649,2604701,24767,16815,,,FALGOS,COMPRIMIDOS X 12
PUBLICADO,OTC,OTC,7796285293734,21691,29373,,61377,,,,FALGOS EXPENDEDOR ,XPENDEDOR X25 BL
PUBLICADO,OTC,OTC,7796285275419,16380,27541,2610311,50147,17068,,6066,FEEN A MINT,Chicles x 18
PUBLICADO,OTC,OTC,7798033000250,13714,12003,2610304,23268,17063,,6066,FEEN A MINT CHI MEN X 6 (D.20),Chicle Menta. Expend. de 20 est. x 6
PUBLICADO,P.C.,Anticoncepcion,7796285049775,3198,24977,2612401,26409,120221,47443710,48678,FEMEXIN,Comprimidos x 21.
PUBLICADO,P.C.,Anticoncepcion,7796285050870,10055,25087,2612501,33944,155011,47443720,48678,FEMEXIN 28,Comprimidos x 28.
PUBLICADO,P.C.,Osteo,7796285052331,11322,25233,2613101,37561,173431,54594210,52661,FEMOREL,Comprimidos x 1
PUBLICADO,P.C.,Osteo,7796285052348,11323,25234,2613102,41136,173432,54594220,52661,FEMOREL,Comprimidos x 3
PUBLICADO,P.C.,Osteo,7796285053208,12262,25320,2613201,40013,187161,55991310,52661,FEMOREL IV,Inyectable x 1
PUBLICADO,P.C.,Osteo,7796285052676,11720,25267,2613301,38781,179861,55149710,52661,FEMOREL MAX,Comprimidos x 1 + 30 compr.
PUBLICADO,P.C.,Vías Respiratorias,7791848283542,19179,28354,9007818,56716,280191,511412-3,50699,FENISONA,SPRAY NASAL X 120 D
PUBLICADO,P.C.,Vías Respiratorias,7791848283535,19180,28353,9007817,56715,280192,511412-2,50699,FENISONA,SPRAY NASAL X 60 D
PUBLICADO,P.C.,Cardio,7796285051716,12680,25171,2617206,41197,148686,52166730,50858,FENSARTAN 100 MG.,Comprimidos x 30
PUBLICADO,P.C.,Cardio,7796285051709,12679,25170,2617205,41196,148685,51599630,50858,FENSARTAN 50 MG.,Comprimidos x 30
PUBLICADO,P.C.,Cardio,7796285273675,17093,27367,2617207,51036,148687,51599640,50858,FENSARTAN 50 MG.,Comprimidos x 60
PUBLICADO,P.C.,Cardio,7796285054717,14028,25471,3848201,47880,227641,59011310,50858,FENSARTAN CRONOS,Comprimidos x 30
PUBLICADO,P.C.,Cardio,7796285053543,12677,25354,2617102,41198,154662,52128030,45057,FENSARTAN D,Comprimidos x 30
PUBLICADO,P.C.,Cardio,7796285055417,13952,25541,3751602,45754,215592,59893910,55763,FENSARTAN UNIMAX 100MG/5mg,Comprimidos x 30
PUBLICADO,P.C.,Cardio,7796285055400,13951,25540,3751601,45753,215591,59892610,55763,FENSARTAN UNIMAX 50MG/5mg,Comprimidos x 30
PUBLICADO,OTC,OTC,7796285278427,17623,27842,4003402,52324,251222,,21-105386,FITO CHIACAPS,Cápsulas x 30
PUBLICADO,OTC,OTC,7796285274214,17207,27421,4003401,51351,251221,,21-105386,FITO CHIACAPS,Cápsulas x 60
PUBLICADO,P.C.,Cardio,7796285280345,18439,28034,9002041,54021,265361,,58336,FLENOMID XR 100 MG.,Cápsulas x 30
PUBLICADO,P.C.,Cardio,7796285280352,18440,28035,9002042,54022,265362,,58336,FLENOMID XR 200 MG.,Cápsulas x 30
PUBLICADO,P.C.,Cardio,7791848250414,18673,25041,3683501,43987,201241,52050110,51155,FLEVOMAX,500 MG. COMP. x 30
PUBLICADO,P.C.,Cardio,7796285295707,22000,29570,,,,,,FLEVOMAX,1000MG COMP X30
PUBLICADO,P.C.,Cardio,7791848254078,18674,25407,3683502,43988,201242,52050120,51155,FLEVOMAX,500 MG. COMP. x 60
PUBLICADO,P.C.,Anticoncepcion,7796285053307,12636,25330,2639901,41199,193141,,49718,FLORENCE,Comprimidos x 21.
PUBLICADO,P.C.,Urología,7796285283391,19338,28339,9009133,57602,284321,,,FOSFOLEA,1 sobre de polvo para solución oral
PUBLICADO,P.C.,Visual,7796285254988,13684,25498,2660101,35299,161431,52946510,51614,FOTADEX,SUSP. OFT. x 5 ML
PUBLICADO,P.C.,Visual,7796285254995,13685,25499,2660102,38204,161432,52947010,51614,FOTADEX,"UNG. OFT. x 3,5 GR "
PUBLICADO,P.C.,Visual,7796285255008,13686,25500,2660201,41538,194371,57209710,54251,FOTAMICIN,SUSP. OFT. x 5 ML
PUBLICADO,P.C.,Visual,7796285255015,13687,25501,2660202,41539,194372,57267110,54251,FOTAMICIN,UNGUENTO OFTALMICO x 3.5 GR.
PUBLICADO,P.C.,Visual,7796285255022,13688,25502,2660301,35300,161441,52949110,51615,FOTEX,SOL OFT x 5 ML 
PUBLICADO,P.C.,Visual,7796285272784,15139,27278,3873101,48382,230621,61606810,56659,GATIMICIN,SOL OFT x 5 ML 
PUBLICADO,P.C.,Visual,7796285272791,15140,27279,3873201,48383,230631,61770010,56712,GATIMICIN D,SUSP. OFT. x 5 ML. 
PUBLICADO,P.C.,Visual,7796285275075,16594,27507,3972101,50575,245931,63041310,56659,GATIMICIN FORTE,SOL OFT x 5 ML 
PUBLICADO,OTC,OTC,7796285288457,19903,28845,,58612,,,,GENIOL,Exp. 500mg x 50 bl.
PUBLICADO,OTC,OTC,7796285286767,19678,28676,,57749,,,,GENIOL,GENIOL 500 MG EXP 8 BLISTER x 8 (64 COMP) 
PUBLICADO,OTC,OTC,7796285286774,19681,28677,9009227,57736,,,,GENIOL,GENIOL 500 MG x 16 COMP.
PUBLICADO,OTC,OTC,7796285286781,19679,28678,,57750,,,,GENIOL,GENIOL 650 MG  EXP 8 BLISTERS x 8 (64 COMP)
PUBLICADO,OTC,OTC,7796285286798,19677,28679,9009229,57737,,,,GENIOL,GENIOL 650 MG x 16 COMP.
PUBLICADO,OTC,OTX,7796285287528,19751,28752,9009230,57753,,,661371-2,GENIOL,1 gr comp. x 8
PUBLICADO,OTC,OTX,7796285288464,19964,28846,9010524,58774,,,,GENIOL,1GR  FCO. 50 COMP
PUBLICADO,OTC,OTX,7796285286804,19680,28680,9009231,57738,,,661371-1,GENIOL,GENIOL 1 GR CAJA x 56
PUBLICADO,OTC,OTC,7796285289362,21105,28936,,60369,,,,GENIOL PLUS RÁPIDA ACCIÓN,12 CÁPSULAS BLANDAS
PUBLICADO,OTC,OTC,7796285289379,21104,28937,,60370,,,,GENIOL PLUS RÁPIDA ACCIÓN,EXPENDEDOR CONTENIENDO 60 CÁPSULAS BLANDAS
PUBLICADO,P.C.,Anticoncepcion,7796285048419,6194,24841,2701701,14572,62801,,42518,GINELEA,Grageas. Estuche x 21.
PUBLICADO,P.C.,Anticoncepcion,7796285048907,7903,24890,2701802,17991,80181,,42518,GINELEA  MD,Grageas. Estuche x 21.
PUBLICADO,P.C.,Anticoncepcion,7796285052072,10995,25207,2701801,36670,217071,,50160,GINELEA  MD,Grageas. Estuche x 28.
PUBLICADO,P.C.,Cardio,7796285270834,14324,27083,2716601,31501,141141,49541710,42855,GLUCOPHAGE 1000 MG.,Comprimidos x 30
PUBLICADO,P.C.,Cardio,7796285270841,14325,27084,2716602,31502,141142,49541730,42855,GLUCOPHAGE 1000 MG.,Comprimidos x 60
PUBLICADO,P.C.,Cardio,7796285270858,14326,27085,2716702,22235,98252,44028020,42855,GLUCOPHAGE 500 MG,Comprimidos x 100
PUBLICADO,P.C.,Cardio,7796285270865,14327,27086,2716701,22233,98251,44028010,42855,GLUCOPHAGE 500 MG,Comprimidos x 30
PUBLICADO,P.C.,Cardio,7796285270872,14328,27087,2716801,13902,53581,37319210,42855,GLUCOPHAGE 850 MG,Comprimidos x 30
PUBLICADO,P.C.,Cardio,7796285270889,14329,27088,2716802,13903,53583,37319220,42855,GLUCOPHAGE 850 MG,Comprimidos x 60
PUBLICADO,P.C.,Cardio,7796285270933,14332,27093,3723701,44955,211811,58608410,42855,GLUCOPHAGE XR 1000 MG,Comprimidos x 30
PUBLICADO,P.C.,Cardio,7796285270940,14333,27094,3723702,44956,211812,58608420,42855,GLUCOPHAGE XR 1000 MG,Comprimidos x 60
PUBLICADO,P.C.,Cardio,7796285270896,14330,27089,2716901,39508,183161,55716810,42855,GLUCOPHAGE XR 500 MG,Comprimidos x 30
PUBLICADO,P.C.,Cardio,7796285270902,14331,27090,2716902,39509,183162,55716820,42855,GLUCOPHAGE XR 500 MG,Comprimidos x 60
PUBLICADO,P.C.,Cardio,7796285270919,14334,27091,2716903,43327,191602,57962610,42855,GLUCOPHAGE XR 750 MG,Comprimidos x 30
PUBLICADO,P.C.,Cardio,7796285270926,14335,27092,2716904,43328,191601,57962620,42855,GLUCOPHAGE XR 750 MG,Comprimidos x 60
PUBLICADO,P.C.,Cardio,7791848270801,18659,27080,2719103,29855,136282,49543310,49851,GLUCOVANCE,500/2.50 MG COMP. x 30
PUBLICADO,P.C.,Cardio,7791848270818,18660,27081,2719104,29856,136283,49544110,49851,GLUCOVANCE,500/5.00 MG COMP. x 30
PUBLICADO,P.C.,Cardio,7791848270825,18661,27082,2719101,31503,136284,49544120,49851,GLUCOVANCE,500/5.00 MG COMP. x 60
PUBLICADO,OTC,OTC,7796285286866,19610,28686,2752601,36157,21028,,,HEPATALGINA,Comp. x 10
PUBLICADO,OTC,OTC,7796285286873,19612,28687,2752617,51004,210212,,,HEPATALGINA,Comp. x 20
PUBLICADO,OTC,OTC,7796285286880,19614,28688,2752618,51005,210213,,,HEPATALGINA,Comp. x 40
PUBLICADO,OTC,OTC,7796285286897,19613,28689,2752619,51007,210214,,,HEPATALGINA,Gotas x 120ml.
PUBLICADO,OTC,OTC,7796285290207,21423,29020,,61439,,,,HEPATALGINA,9 Hierbas x 50 ml
PUBLICADO,OTC,OTC,7796285286903,19611,28690,2752608,51006,21021,,,HEPATALGINA,Gotas x 45ml.
PUBLICADO,P.C.,Vitaminas,7791848205124,7832,28138,2776401,8041,21671,0082103,18401,HOLOMAGNESIO,COMP. REC.  X  20              
PUBLICADO,P.C.,Vitaminas,7791848205018,7742,28134,2776402,6474,21672,0082101,18401,HOLOMAGNESIO,COMP. REC.  X  50              
PUBLICADO,P.C.,Vitaminas,7791848205025,7743,28135,2776403,6475,21673,0082102,18401,HOLOMAGNESIO,COMP. REC.  X 100              
PUBLICADO,P.C.,Vitaminas,7791848205070,7740,28136,2776601,6476,21681,2340391,35100,HOLOMAGNESIO B6,COMP. REC. X 20           
PUBLICADO,P.C.,Vitaminas,7791848205087,7741,28137,2776602,6477,21682,2340393,35100,HOLOMAGNESIO B6,COMP. REC. X 50           
PUBLICADO,OTC,OTC,7796285295813,21845,29581,,62026,,,,HOLOMAGNESIO,INTEG POLVO
PUBLICADO,OTC,OTC,7796285290023,21167,29002,,60348,,,,INFILTREX,POLVO 300 G
